"date","region","metric","smooth","proportion","value"
2020-01-20,"Guatemala","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-20,"Guatemala","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-20,"Guatemala","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-20,"Guatemala","daily_total_icu",FALSE,FALSE,0
2020-01-20,"Guatemala","daily_total_icu",FALSE,TRUE,0
2020-01-20,"Guatemala","daily_total_icu",TRUE,FALSE,0
2020-01-20,"Guatemala","daily_total_icu",TRUE,TRUE,0
2020-01-20,"Thailand","daily_deaths",FALSE,FALSE,0
2020-01-20,"Thailand","daily_deaths",FALSE,TRUE,0
2020-01-20,"Thailand","daily_deaths",TRUE,FALSE,0
2020-01-20,"Thailand","daily_deaths",TRUE,TRUE,0
2020-01-20,"Thailand","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-20,"Thailand","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-20,"Thailand","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-20,"Thailand","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-20,"Thailand","daily_total_icu",FALSE,FALSE,0
2020-01-20,"Thailand","daily_total_icu",FALSE,TRUE,0
2020-01-20,"Thailand","daily_total_icu",TRUE,FALSE,0
2020-01-20,"Thailand","daily_total_icu",TRUE,TRUE,0
2020-01-21,"Guatemala","daily_deaths",FALSE,FALSE,0
2020-01-21,"Guatemala","daily_deaths",FALSE,TRUE,0
2020-01-21,"Guatemala","daily_deaths",TRUE,FALSE,0
2020-01-21,"Guatemala","daily_deaths",TRUE,TRUE,0
2020-01-21,"Guatemala","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-21,"Guatemala","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-21,"Guatemala","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-21,"Guatemala","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-21,"Guatemala","daily_total_icu",FALSE,FALSE,0
2020-01-21,"Guatemala","daily_total_icu",FALSE,TRUE,0
2020-01-21,"Guatemala","daily_total_icu",TRUE,FALSE,0
2020-01-21,"Guatemala","daily_total_icu",TRUE,TRUE,0
2020-01-21,"Thailand","daily_deaths",FALSE,FALSE,0
2020-01-21,"Thailand","daily_deaths",FALSE,TRUE,0
2020-01-21,"Thailand","daily_deaths",TRUE,FALSE,0
2020-01-21,"Thailand","daily_deaths",TRUE,TRUE,0
2020-01-21,"Thailand","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-21,"Thailand","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-21,"Thailand","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-21,"Thailand","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-21,"Thailand","daily_total_icu",FALSE,FALSE,0
2020-01-21,"Thailand","daily_total_icu",FALSE,TRUE,0
2020-01-21,"Thailand","daily_total_icu",TRUE,FALSE,0
2020-01-21,"Thailand","daily_total_icu",TRUE,TRUE,0
2020-01-22,"Guatemala","daily_deaths",FALSE,FALSE,0
2020-01-22,"Guatemala","daily_deaths",FALSE,TRUE,0
2020-01-22,"Guatemala","daily_deaths",TRUE,FALSE,0
2020-01-22,"Guatemala","daily_deaths",TRUE,TRUE,0
2020-01-22,"Guatemala","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-22,"Guatemala","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-22,"Guatemala","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-22,"Guatemala","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-22,"Guatemala","daily_total_icu",FALSE,FALSE,0
2020-01-22,"Guatemala","daily_total_icu",FALSE,TRUE,0
2020-01-22,"Guatemala","daily_total_icu",TRUE,FALSE,0
2020-01-22,"Guatemala","daily_total_icu",TRUE,TRUE,0
2020-01-22,"Thailand","daily_deaths",FALSE,FALSE,0
2020-01-22,"Thailand","daily_deaths",FALSE,TRUE,0
2020-01-22,"Thailand","daily_deaths",TRUE,FALSE,0
2020-01-22,"Thailand","daily_deaths",TRUE,TRUE,0
2020-01-22,"Thailand","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-22,"Thailand","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-22,"Thailand","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-22,"Thailand","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-22,"Thailand","daily_total_icu",FALSE,FALSE,0
2020-01-22,"Thailand","daily_total_icu",FALSE,TRUE,0
2020-01-22,"Thailand","daily_total_icu",TRUE,FALSE,0
2020-01-22,"Thailand","daily_total_icu",TRUE,TRUE,0
2020-01-23,"Guatemala","daily_deaths",FALSE,FALSE,0
2020-01-23,"Guatemala","daily_deaths",FALSE,TRUE,0
2020-01-23,"Guatemala","daily_deaths",TRUE,FALSE,0
2020-01-23,"Guatemala","daily_deaths",TRUE,TRUE,0
2020-01-23,"Guatemala","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-23,"Guatemala","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-23,"Guatemala","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-23,"Guatemala","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-23,"Guatemala","daily_total_icu",FALSE,FALSE,0
2020-01-23,"Guatemala","daily_total_icu",FALSE,TRUE,0
2020-01-23,"Guatemala","daily_total_icu",TRUE,FALSE,0
2020-01-23,"Guatemala","daily_total_icu",TRUE,TRUE,0
2020-01-23,"Thailand","daily_deaths",FALSE,FALSE,0
2020-01-23,"Thailand","daily_deaths",FALSE,TRUE,0
2020-01-23,"Thailand","daily_deaths",TRUE,FALSE,0
2020-01-23,"Thailand","daily_deaths",TRUE,TRUE,0
2020-01-23,"Thailand","daily_total_hospitalizations",FALSE,FALSE,0
2020-01-23,"Thailand","daily_total_hospitalizations",FALSE,TRUE,0
2020-01-23,"Thailand","daily_total_hospitalizations",TRUE,FALSE,0
2020-01-23,"Thailand","daily_total_hospitalizations",TRUE,TRUE,0
2020-01-23,"Thailand","daily_total_icu",FALSE,FALSE,0
2020-01-23,"Thailand","daily_total_icu",FALSE,TRUE,0
2020-01-23,"Thailand","daily_total_icu",TRUE,FALSE,0
2020-01-23,"Thailand","daily_total_icu",TRUE,TRUE,0
2020-01-24,"Guatemala","daily_deaths",FALSE,FALSE,0
2020-01-24,"Guatemala","daily_deaths",FALSE,TRUE,0
